"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
18,2,0.80565,0.89764,10.0828,-0.95933,0.90824,2.8134,1,0,0,1,-1.43443,0.0005594,-0.09638,-1.6754,-0.0012512,0.02485,-0.36983,-0.001363,-0.36034,0.2286,436.34,0.5622,0.74752,0.11422,0.1264,0.10965,0.09433,0.21393,0.03175
18,3,1.01227,0.85338,8.435,-0.9326,0.91563,3.812,1,0,0,1,-1.48192,0.000342,-0.04878,-1.23425,-0.0007836,-0.0667,-0.45135,-0.001044,-0.45535,0.2979,571.15,0.56568,0.7442,0.1185,0.15075,0.14728,0.09061,0.16854,0.01445
19,1,1.16983,0.82829,10.2846,-1.07204,0.96557,2.8347,1,0,0,1,-1.35903,0.0003799,-0.17083,-0.77134,0.0012207,-0.28648,0.01825,0.000103,-0.44448,0.1867,789.03,0.50696,0.74267,0.09832,0.0823,0.14631,0.13285,0.2484,0.04219
19,2,0.80565,0.89764,10.0828,-0.95933,0.90824,2.8134,1,0,0,1,-1.43443,0.0005594,-0.09638,-1.6754,-0.0012512,0.02485,-0.36983,-0.001363,-0.36034,0.2286,436.34,0.5622,0.74752,0.11422,0.1264,0.10965,0.09433,0.21393,0.03175
19,3,1.01227,0.85338,8.435,-0.9326,0.91563,3.812,1,0,0,1,-1.48192,0.000342,-0.04878,-1.23425,-0.0007836,-0.0667,-0.45135,-0.001044,-0.45535,0.2979,571.15,0.56568,0.7442,0.1185,0.15075,0.14728,0.09061,0.16854,0.01445
21,1,0.84015,0.86659,9.2836,-1.29692,0.99809,2.0218,1,0,0,1,-1.85811,-0.0004392,-0.04085,-1.06217,-0.0001517,-0.17361,-0.55045,-6.2e-05,-0.33192,0.165,499.74,0.57465,0.78325,0.08381,0.07607,0.14938,0.08519,0.19216,0.05548
21,2,0.63418,0.92136,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.51952,0.000314,-0.05814,-0.99441,0.0002441,-0.16065,-0.16035,0.000808,-0.47408,0.3165,529.19,0.53552,0.71463,0.10634,0.12816,0.15149,0.10968,0.20665,0.04754
21,3,0.59376,0.94695,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.23019,0.000212,-0.09046,-1.15099,-9.56e-05,-0.12399,-0.29255,0.000957,-0.59748,0.3637,703.92,0.56129,0.74216,0.14092,0.13905,0.14417,0.09727,0.15362,0.02153
22,1,0.84015,0.86659,9.2836,-1.29692,0.99809,2.0218,1,0,0,1,-1.85811,-0.0004392,-0.04085,-1.06217,-0.0001517,-0.17361,-0.55045,-6.2e-05,-0.33192,0.165,499.74,0.57465,0.78325,0.08381,0.07607,0.14938,0.08519,0.19216,0.05548
22,2,0.63418,0.92136,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.51952,0.000314,-0.05814,-0.99441,0.0002441,-0.16065,-0.16035,0.000808,-0.47408,0.3165,529.19,0.53552,0.71463,0.10634,0.12816,0.15149,0.10968,0.20665,0.04754
22,3,0.59376,0.94695,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.23019,0.000212,-0.09046,-1.15099,-9.56e-05,-0.12399,-0.29255,0.000957,-0.59748,0.3637,703.92,0.56129,0.74216,0.14092,0.13905,0.14417,0.09727,0.15362,0.02153
23,1,0.57078,0.93548,3.2131,-0.82974,0.95877,1.9448,1,0,0,1,-0.90657,0.0003196,-0.2189,-0.31667,9.67e-05,-0.30096,0.13215,-0.000752,-0.41169,0.1499,490.4,0.43323,0.76874,0.12224,0.09337,0.19274,0.09074,0.25178,0.04715
23,2,0.52133,0.95313,11.9916,-1.38072,0.99048,2.3155,1,0,0,1,-0.73267,0.0008737,-0.21126,-0.82754,-0.0005981,-0.1357,-0.02222,0.000371,-0.47761,0.5037,496.61,0.47275,0.71456,0.15855,0.1425,0.16391,0.09982,0.20479,0.04312
23,3,0.57382,0.94058,15.7196,-1.56199,0.99899,2.0412,1,0,0,1,-0.87715,0.0002766,-0.10925,0.53148,-0.0007332,-0.43204,-1.41215,-0.018022,0.29554,0.2482,522.75,0.38849,0.75771,0.13484,0.18363,0.32288,0.05857,0.15379,1e-04
24,1,0.66982,0.90354,2.3218,-1.16423,0.99379,2.1699,1,0,0,1,-1.33013,-0.0001316,-0.10252,0.41072,-0.0011519,-0.29421,1.18851,-0.001218,-0.45993,3.0428,583.78,0.30481,0.75133,0.06507,0.09568,0.24803,0.08855,0.38209,0.06444
24,2,0.52133,0.95313,11.9916,-1.38072,0.99048,2.3155,1,0,0,1,-0.73267,0.0008737,-0.21126,-0.82754,-0.0005981,-0.1357,-0.02222,0.000371,-0.47761,0.5037,496.61,0.47275,0.71456,0.15855,0.1425,0.16391,0.09982,0.20479,0.04312
24,3,0.57382,0.94058,15.7196,-1.56199,0.99899,2.0412,1,0,0,1,-0.87715,0.0002766,-0.10925,0.53148,-0.0007332,-0.43204,-1.41215,-0.018022,0.29554,0.2482,522.75,0.38849,0.75771,0.13484,0.18363,0.32288,0.05857,0.15379,1e-04
25,1,0.84015,0.86659,9.2836,-1.29692,0.99809,2.0218,1,0,0,1,-1.85811,-0.0004392,-0.04085,-1.06217,-0.0001517,-0.17361,-0.55045,-6.2e-05,-0.33192,0.165,499.74,0.57465,0.78325,0.08381,0.07607,0.14938,0.08519,0.19216,0.05548
25,2,0.63418,0.92136,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.51952,0.000314,-0.05814,-0.99441,0.0002441,-0.16065,-0.16035,0.000808,-0.47408,0.3165,529.19,0.53552,0.71463,0.10634,0.12816,0.15149,0.10968,0.20665,0.04754
25,3,0.59376,0.94695,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.23019,0.000212,-0.09046,-1.15099,-9.56e-05,-0.12399,-0.29255,0.000957,-0.59748,0.3637,703.92,0.56129,0.74216,0.14092,0.13905,0.14417,0.09727,0.15362,0.02153
26,1,1.31805,0.81455,9.2836,-1.29692,0.99809,2.0218,1,0,0,1,-2.30153,-0.0001201,0.02772,-1.97589,-0.0004089,-0.03418,-1.61309,-0.000921,-0.11925,11.7333,479,0.72766,0.79003,0.07865,0.08862,0.09118,0.07289,0.10251,0.04845
26,2,0.65885,0.91928,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.35477,0.0006226,-0.11644,-2.12512,-0.0009877,0.08451,0.23806,0.0015,-0.59139,76.6256,387.74,0.70026,0.73256,0.1135,0.12002,0.11247,0.09881,0.07378,0.0486
26,3,0.95471,0.85607,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.85053,-0.0005552,0.07745,-2.06008,-0.001233,0.09941,-2.21042,-0.001741,-0.01713,33.0856,393.2,0.67682,0.71783,0.13844,0.14419,0.11891,0.10216,0.06583,0.03583
27,1,1.31805,0.81455,9.2836,-1.29692,0.99809,2.0218,1,0,0,1,-2.30153,-0.0001201,0.02772,-1.97589,-0.0004089,-0.03418,-1.61309,-0.000921,-0.11925,11.7333,479,0.72766,0.79003,0.07865,0.08862,0.09118,0.07289,0.10251,0.04845
27,2,0.65885,0.91928,12.2503,-1.64107,1.01875,1.8536,1,0,0,1,-1.35477,0.0006226,-0.11644,-2.12512,-0.0009877,0.08451,0.23806,0.0015,-0.59139,76.6256,387.74,0.70026,0.73256,0.1135,0.12002,0.11247,0.09881,0.07378,0.0486
27,3,0.95471,0.85607,11.7918,-1.40923,0.99677,2.1063,1,0,0,1,-1.85053,-0.0005552,0.07745,-2.06008,-0.001233,0.09941,-2.21042,-0.001741,-0.01713,33.0856,393.2,0.67682,0.71783,0.13844,0.14419,0.11891,0.10216,0.06583,0.03583
28,1,0.61012,0.92918,3.2131,-0.82974,0.95877,1.9448,1,0,0,1,-1.49778,0.0002165,-0.09997,-1.20606,0.0002463,-0.13935,0.14982,0.00069,-0.4509,0.1049,1635.78,0.50363,0.69481,0.09569,0.10563,0.12014,0.11093,0.28053,0.08863
28,2,0.40705,0.99267,11.9916,-1.38072,0.99048,2.3155,1,0,0,1,-1.10682,0.0001446,-0.10396,-0.14901,0.0003334,-0.32138,-0.08565,0.000737,-0.48605,0.2516,1725.57,0.45581,0.70309,0.12683,0.13742,0.23047,0.09805,0.18688,0.06144
28,3,0.47023,0.97957,15.7196,-1.56199,0.99899,2.0412,1,0,0,1,-0.74863,0.0001428,-0.1161,-1.05598,0.0005541,-0.24111,-0.37687,0.001145,-0.65829,0.2727,1739.77,0.53975,0.69315,0.2105,0.1767,0.12577,0.10454,0.12398,0.02561
29,1,0.61012,0.92918,2.3218,-1.16423,0.99379,2.1699,1,0,0,1,-1.49778,0.0002165,-0.09997,-1.20606,0.0002463,-0.13935,0.14982,0.00069,-0.4509,0.1049,1635.78,0.50363,0.69481,0.09569,0.10563,0.12014,0.11093,0.28053,0.08863
29,2,0.40705,0.99267,11.9916,-1.38072,0.99048,2.3155,1,0,0,1,-1.10682,0.0001446,-0.10396,-0.14901,0.0003334,-0.32138,-0.08565,0.000737,-0.48605,0.2516,1725.57,0.45581,0.70309,0.12683,0.13742,0.23047,0.09805,0.18688,0.06144
29,3,0.47023,0.97957,15.7196,-1.56199,0.99899,2.0412,1,0,0,1,-0.74863,0.0001428,-0.1161,-1.05598,0.0005541,-0.24111,-0.37687,0.001145,-0.65829,0.2727,1739.77,0.53975,0.69315,0.2105,0.1767,0.12577,0.10454,0.12398,0.02561
30,1,0.61012,0.92918,2.3218,-1.16423,0.99379,2.1699,1,0,0,1,-1.49778,0.0002165,-0.09997,-1.20606,0.0002463,-0.13935,0.14982,0.00069,-0.4509,0.1049,1635.78,0.50363,0.69481,0.09569,0.10563,0.12014,0.11093,0.28053,0.08863
30,2,0.40705,0.99267,11.9916,-1.38072,0.99048,2.3155,1,0,0,1,-1.10682,0.0001446,-0.10396,-0.14901,0.0003334,-0.32138,-0.08565,0.000737,-0.48605,0.2516,1725.57,0.45581,0.70309,0.12683,0.13742,0.23047,0.09805,0.18688,0.06144
30,3,0.47023,0.97957,15.7196,-1.56199,0.99899,2.0412,1,0,0,1,-0.74863,0.0001428,-0.1161,-1.05598,0.0005541,-0.24111,-0.37687,0.001145,-0.65829,0.2727,1739.77,0.53975,0.69315,0.2105,0.1767,0.12577,0.10454,0.12398,0.02561
31,1,1.13011,0.81584,2.3558,-0.28689,0.45307,2.3673,0,0,1,1,-1.91865,-0.000266,-0.00174,-2.73571,-0.0025689,0.14149,-1.72988,6.3e-05,-0.11892,0.2107,509.04,0.72783,0.79592,0.10654,0.10095,0.05958,0.03376,0.10605,0.06938
31,2,0.9097,0.86143,100,-1.44095,0.93144,1.384,0,0,1,1,-5.33844,-0.0030037,0.7799,-1.18853,-0.0021472,-0.13557,-1.66474,0.001163,-0.25208,82.955,450.43,0.75227,0.79002,0.09248,0.11612,0.10454,0.03991,0.05072,0.05395
31,3,0.57069,0.93811,20.5199,-0.93723,0.77411,2.6657,0,0,1,1,-1.51524,-0.0001543,-0.00431,-7.61229,-0.0033172,1.14965,-4.44531,-0.003085,0.33415,28.2426,451.74,0.78402,0.74167,0.16897,0.14805,0.01982,0.09357,0.02719,0.01672
32,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
32,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
32,3,0.45581,0.99176,9.1642,-0.66326,0.67493,4.4726,0,0,1,1,-1.15625,-0.0002116,-0.03829,-2.89288,-0.0008582,0.20776,-2.47012,-0.000122,-0.22451,0.6615,625.99,0.69876,0.73672,0.20572,0.15864,0.05548,0.09107,0.04004,0.01357
33,1,0.61559,0.94009,15.2853,-0.72512,0.65647,5.6784,0,0,1,1,-1.53054,3.56e-05,-0.12161,-1.56293,-0.0005977,-0.06192,-1.32464,-0.001265,-0.15206,0.525,658.35,0.6373,0.80767,0.11204,0.0812,0.12008,0.07636,0.13058,0.03477
33,2,0.50222,0.96964,5.8303,-0.6188,0.75916,3.2835,0,0,1,1,-1.3074,2.92e-05,-0.08225,-1.52192,-0.0008701,-0.01728,-1.16685,-0.000306,-0.27974,0.9122,802.9,0.61177,0.77292,0.143,0.12342,0.1294,0.07474,0.11583,0.02892
