DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
6,11,0.40853,1.07039,62.7808,-1.53446,0.9814,3.8239,0,0,1,1,0.24137,0.001753,-0.46251,-0.72926,-0.0001529,-0.06884,-0.61928,-0.002352,-0.30304,3.618,279.05,0.46156,0.65967,0.21836,0.10043,0.19182,0.20664,0.12827,0.03326
6,12,0.50748,1.03306,20.5125,-0.94943,0.79683,5.7138,0,0,1,1,-0.79049,0.0002472,-0.24248,0.63303,-4.61E-06,-0.31386,-0.44714,-0.010293,-0.01917,0.874,310.62,0.33463,0.68789,0.09883,0.08347,0.36154,0.21254,0.20499,0.0161
6,13,0.58052,0.95246,38.2599,-1.56537,0.99841,4.5071,0,0,1,1,0.06418,0.0027884,-0.46071,0.12598,0.0007449,-0.25783,0.81034,-0.000667,-0.63383,0.874,472.97,0.34206,0.62735,0.16173,0.14578,0.24595,0.20625,0.25027,0.02061
7,1,0.65052,0.90986,8.6586,-1.16793,1.00054,2.5737,7.363,-1.49647,0.99759,1.19993,-1.29465,0.0018363,-0.14005,-0.37614,0.000585,-0.12019,0.14091,-0.000638,-0.32725,0.237,315.23,0.40822,0.56398,0.08874,0.12289,0.2297,0.23274,0.27334,0.08039
7,2,0.87154,0.89651,16.7337,-1.23534,0.96234,2.7086,0,0,1,1,-1.87078,-7.05E-05,-0.06574,-1.38202,0.0006155,0.0414,-1.41498,0.000677,-0.14078,0.379,608.22,0.62544,0.58088,0.08623,0.0562,0.1684,0.27661,0.11993,0.08631
7,3,0.40716,1.01048,8.0107,-0.82745,0.87297,3.2947,24.796,-1.61466,1.01583,1.364,-0.90111,0.000538,-0.15313,-1.62306,0.0006139,0.10889,-0.41038,0.001477,-0.31578,0.182,1001.15,0.51376,0.42668,0.1622,0.10301,0.12126,0.33045,0.20278,0.13986
7,6,0.52267,0.96653,23.9191,-0.70358,0,7.8628,0,0,1,1,-1.33624,-7.31E-06,-0.15692,0.23535,0.0045772,-0.38911,-1.02243,0.000452,-0.2744,2.281,197.3,0.50204,0.62454,0.09663,0.07125,0.29648,0.24699,0.10485,0.05721
7,7,0.78527,0.84482,3.5537,-0.89381,0.96509,3.9226,100,-2.57753,1.00079,1.04076,-1.41101,-0.0004143,-0.04484,-0.3104,6.86e-05,-0.15368,-0.79717,0.001663,-0.23755,1.702,385.42,0.48573,0.5998,0.1087,0.09542,0.26587,0.18048,0.13969,0.1243
7,8,0.76485,0.87642,9.0846,-1.08455,0.95745,2.7292,0,0,1,1,-1.36126,0.0005622,-0.09908,-0.84414,0.0001964,-0.03071,-0.26089,7.2e-05,-0.2688,0.182,608.22,0.47134,0.5773,0.10266,0.11028,0.19266,0.22965,0.23334,0.08277
7,9,0.28206,1.11656,22.1827,-1.0505,0.87161,4.8123,58.249,-1.62025,1.00206,1.32346,-0.91513,0.0003582,-0.13677,-2.6866,-0.0007285,0.32691,-1.63927,-0.00037,-0.1857,0.512,1013.4,0.63393,0.63557,0.20105,0.1419,0.07541,0.1991,0.08961,0.02343
