DistTypeId,DistTypeName,OnOffSwitch,Description,IsStandReplacing,IsMultiYear,MultiYearCount
185,30% commercial thinning,0,This disturbance type can be used to simulate a 30% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
186,35% commercial thinning,0,This disturbance type can be used to simulate a 35% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
187,40% commercial thinning,0,This disturbance type can be used to simulate a 40% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
188,45% commercial thinning,0,This disturbance type can be used to simulate a 45% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
189,50% commercial thinning,0,This disturbance type can be used to simulate a 50% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
190,55% commercial thinning,0,This disturbance type can be used to simulate a 55% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
191,60% commercial thinning,0,This disturbance type can be used to simulate a 60% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
192,65% commercial thinning,0,This disturbance type can be used to simulate a 65% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
193,70% commercial thinning,0,This disturbance type can be used to simulate a 70% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
194,75% commercial thinning,0,This disturbance type can be used to simulate a 75% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
195,Old default fire,0,This disturbance type links to the old default fire disturbance matrices (May 2005),1,0,0
196,97% clear-cut,0,Sylva Cutting with Protection and Regeneration of Soils (CPRS) (97% clear-cut),1,0,0
197,85% precommercial thinning,0,Sylva 85% precommercial thinning (Éclaircie précommerciale),0,0,0
198,Roads and landings,0,Temporary road and landing construction,1,0,0
199,Planting,0,"Planting (forest management activity, not afforestation!)",1,0,0
200,Stand–replacing natural succession,0,Stand–replacing natural succession 1,1,0,0
201,20% commercial thinning,0,This disturbance type can be used to simulate a 20% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
202,15% commercial thinning,0,This disturbance type can be used to simulate a 15% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
203,10% commercial thinning,0,This disturbance type can be used to simulate a 10% reduction in biomass carbon and a transfer of the merchantable C to the forest product sector (FPS).  The remaining carbon removed from the biomass pools is transferred to the respective DOM pools.,0,0,0
204,Clearcut harvesting without salvage,0,"Same as the default Clearcut harvesting disturbance type, except all snags are transferred to the Medium pool",1,0,0
205,"Deforestation — Agriculture — Salvage, uprooting and decay",0,"Deforestation — Agriculture — Salvage, uprooting and decay 1",1,0,0
206,"Deforestation — Agriculture — Salvage, uprooting and burn",0,"Deforestation — Agriculture — Salvage, uprooting and burn 1",1,0,0
