DefaultSPUId,DefaultSpeciesTypeId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
5,20,0.8172,0.85108,3.2665,-0.83212,0.94958,2.1215,0,0,1,1,-1.43373,4e-06,-0.12251,1.58839,0.00211,-0.59625,0.5796,0.00137,-0.53839,0.2,580.26,0.26576,0.62123,0.05177,0.068,0.48709,0.23106,0.19538,0.07971
5,22,0.8172,0.85108,100,-2.02049,0.99606,1.0182,0,0,1,1,-1.43373,4e-06,-0.12251,1.58839,0.00211,-0.59625,0.5796,0.00137,-0.53839,0.2,580.26,0.26576,0.62123,0.05177,0.068,0.48709,0.23106,0.19538,0.07971
5,29,0.3972,1.02235,18.8755,-0.99697,0.87301,5.1566,0,0,1,1,-1.02048,0.000108,-0.13251,0.69523,0.00135,-0.39004,0.0428,-0.00012,-0.38898,0.136,508.22,0.34467,0.62428,0.10001,0.10394,0.36495,0.21771,0.19036,0.05407
5,37,0.6205,0.942,100,-2.23209,1.00752,1.0181,0,0,1,1,-1.0311,0.000183,-0.15361,-0.52355,0.00025,-0.14671,-0.9781,0.00023,-0.22893,2.632,1061.85,0.51616,0.65611,0.13478,0.09734,0.2271,0.18262,0.12196,0.06392
5,43,0.4598,0.99516,13.8374,-1.03481,0.89853,3.8058,0,0,1,1,-2.03473,-0.001144,0.03263,-0.68012,-0.00327,-0.00649,-1.2442,-0.00139,-0.1876,0.672,350.27,0.54174,0.7576,0.07488,0.08035,0.27075,0.1175,0.11262,0.04455
5,44,0.4598,0.99516,13.8374,-1.03481,0.89853,3.8058,0,0,1,1,-2.03473,-0.001144,0.03263,-0.68012,-0.00327,-0.00649,-1.2442,-0.00139,-0.1876,0.672,350.27,0.54174,0.7576,0.07488,0.08035,0.27075,0.1175,0.11262,0.04455
5,49,0.4826,0.94872,4.695,-0.35084,0,1.902,0,0,1,1,0.03082,0.001983,-0.40421,2.62257,0.00354,-0.86966,2.0232,-0.00137,-0.64154,37.444,263.22,0.40055,0.62609,0.09779,0.11353,0.24183,0.16908,0.25983,0.0913
5,59,0.5177,0.95311,5.4317,-0.87278,0.93305,2.7531,0,0,1,1,-1.37852,-0.000283,-0.07308,0.66309,0.00116,-0.4132,0.0215,0.00018,-0.38042,0.136,1061.85,0.36245,0.63558,0.08102,0.07121,0.3578,0.23797,0.19872,0.05523
5,61,0.5177,0.95311,5.4317,-0.87278,0.93305,2.7531,0,0,1,1,-1.37852,-0.000283,-0.07308,0.66309,0.00116,-0.4132,0.0215,0.00018,-0.38042,0.136,1061.85,0.36245,0.63558,0.08102,0.07121,0.3578,0.23797,0.19872,0.05523
5,62,0.5199,0.98014,41.899,-1.74675,1.15739,4.44,0,0,1,1,-1.48151,-0.001137,0.00538,-1.42828,-0.00016,0.02953,-2.4602,-0.00046,-0.05753,0.323,532.21,0.64157,0.69411,0.14709,0.0891,0.16157,0.18445,0.04977,0.03233
