"Age","Volume","StateClassId"
54,795.815913212137,"Forest: Redwood Group"
55,806.875165657505,"Forest: Redwood Group"
56,817.824376702432,"Forest: Redwood Group"
57,828.664641277147,"Forest: Redwood Group"
58,839.39704341714,"Forest: Redwood Group"
59,850.022656371569,"Forest: Redwood Group"
60,860.542542710585,"Forest: Redwood Group"
61,870.957754431588,"Forest: Redwood Group"
62,881.269333064429,"Forest: Redwood Group"
63,891.478309775565,"Forest: Redwood Group"
64,901.585705471174,"Forest: Redwood Group"
65,911.592530899249,"Forest: Redwood Group"
66,921.499786750672,"Forest: Redwood Group"
67,931.308463759283,"Forest: Redwood Group"
68,941.019542800958,"Forest: Redwood Group"
69,950.633994991694,"Forest: Redwood Group"
70,960.152781784721,"Forest: Redwood Group"
71,969.57685506665,"Forest: Redwood Group"
72,978.907157252665,"Forest: Redwood Group"
73,988.144621380759,"Forest: Redwood Group"
74,997.290171205041,"Forest: Redwood Group"
75,1006.34472128812,"Forest: Redwood Group"
76,1015.30917709254,"Forest: Redwood Group"
77,1024.18443507136,"Forest: Redwood Group"
78,1032.97138275777,"Forest: Redwood Group"
79,1041.67089885387,"Forest: Redwood Group"
80,1050.28385331851,"Forest: Redwood Group"
81,1058.81110745431,"Forest: Redwood Group"
82,1067.2535139938,"Forest: Redwood Group"
83,1075.61191718466,"Forest: Redwood Group"
84,1083.88715287418,"Forest: Redwood Group"
85,1092.08004859283,"Forest: Redwood Group"
86,1100.191423637,"Forest: Redwood Group"
87,1108.22208915096,"Forest: Redwood Group"
88,1116.17284820795,"Forest: Redwood Group"
89,1124.04449589051,"Forest: Redwood Group"
90,1131.83781936995,"Forest: Redwood Group"
91,1139.55359798513,"Forest: Redwood Group"
92,1147.19260332033,"Forest: Redwood Group"
93,1154.75559928245,"Forest: Redwood Group"
94,1162.2433421774,"Forest: Redwood Group"
95,1169.6565807857,"Forest: Redwood Group"
96,1176.99605643739,"Forest: Redwood Group"
97,1184.26250308615,"Forest: Redwood Group"
98,1191.4566473827,"Forest: Redwood Group"
99,1198.57920874747,"Forest: Redwood Group"
100,1205.63089944253,"Forest: Redwood Group"
101,1212.61242464282,"Forest: Redwood Group"
102,1219.52448250669,"Forest: Redwood Group"
103,1226.36776424568,"Forest: Redwood Group"
104,1233.14295419366,"Forest: Redwood Group"
105,1239.85072987528,"Forest: Redwood Group"
106,1246.49176207369,"Forest: Redwood Group"
107,1253.06671489765,"Forest: Redwood Group"
108,1259.57624584792,"Forest: Redwood Group"
109,1266.02100588302,"Forest: Redwood Group"
110,1272.40163948433,"Forest: Redwood Group"
111,1278.71878472051,"Forest: Redwood Group"
112,1284.97307331137,"Forest: Redwood Group"
113,1291.16513069097,"Forest: Redwood Group"
114,1297.2955760702,"Forest: Redwood Group"
115,1303.36502249872,"Forest: Redwood Group"
116,1309.37407692622,"Forest: Redwood Group"
117,1315.32334026317,"Forest: Redwood Group"
118,1321.21340744083,"Forest: Redwood Group"
119,1327.04486747086,"Forest: Redwood Group"
120,1332.81830350409,"Forest: Redwood Group"
121,1338.53429288896,"Forest: Redwood Group"
122,1344.19340722917,"Forest: Redwood Group"
123,1349.79621244085,"Forest: Redwood Group"
124,1355.34326880921,"Forest: Redwood Group"
125,1360.8351310445,"Forest: Redwood Group"
126,1366.27234833752,"Forest: Redwood Group"
127,1371.65546441453,"Forest: Redwood Group"
128,1376.98501759163,"Forest: Redwood Group"
129,1382.26154082858,"Forest: Redwood Group"
130,1387.48556178209,"Forest: Redwood Group"
131,1392.65760285861,"Forest: Redwood Group"
132,1397.77818126657,"Forest: Redwood Group"
133,1402.84780906807,"Forest: Redwood Group"
134,1407.86699323012,"Forest: Redwood Group"
135,1412.8362356753,"Forest: Redwood Group"
136,1417.75603333202,"Forest: Redwood Group"
137,1422.62687818413,"Forest: Redwood Group"
138,1427.44925732019,"Forest: Redwood Group"
139,1432.22365298211,"Forest: Redwood Group"
140,1436.95054261345,"Forest: Redwood Group"
141,1441.63039890711,"Forest: Redwood Group"
